category,cat_code,orig_q_id,new_q_id,type,verification_role,text
3. Product/ Market Fit,PMF,PMF_Q4,PMF_Q4,BINARY,AI,Startup has had live research-focused discussions with at least 6 members of its target audience.
3. Product/ Market Fit,PMF,PMF_Q5,PMF_Q5,BINARY,AI,Startup has had live research-focused discussions with 10 or more members of its target audience.
3. Product/ Market Fit,PMF,PMF_Q6,PMF_Q6,BINARY,AI,Startup updated or created customer segments based on research.
3. Product/ Market Fit,PMF,PMF_Q7,PMF_Q7,BINARY,AI,Startup updated or created customer archetypes/personas based on research.
3. Product/ Market Fit,PMF,PMF_Q8,PMF_Q8,BINARY,AI,Startup updated or changed its user experience based on research.
3. Product/ Market Fit,PMF,PMF_Q9,PMF_Q9a,BINARY,AI,Articulates specific insight or finding learned from customer research
3. Product/ Market Fit,PMF,PMF_Q9,PMF_Q9b,BINARY,AI,Identifies concrete change made to strategy or product experience based on research
4. Markets,M,M_Q1,M_Q1a,BINARY,AI,Identifies commercial distribution channels for product delivery
4. Markets,M,M_Q1,M_Q1b,BINARY,AI,"Identifies media, marketing, or industry channels for customer acquisition"
4. Markets,M,M_Q10,M_Q10,BINARY,AI,Has the startup identified and prioritized the most important features to customers for GTM rollout?
4. Markets,M,M_Q11,M_Q11a,BINARY,AI,Provides visual or scheduled product roadmap across future quarters/years
4. Markets,M,M_Q11,M_Q11b,BINARY,AI,Provides technical or commercial rationale for feature sequencing
4. Markets,M,M_Q12,M_Q12,BINARY,AI,Has the startup anticipated the need to gather feedback and pivot in the future?
4. Markets,M,M_Q2,M_Q2,BINARY,HUMAN,Does the startup have a clear operational plan to distribute its product or service via distribution channels that customers frequently use?
4. Markets,M,M_Q3,M_Q3,BINARY,AI,"Has the startup identified ways to leverage their advocates, customers or community to spread their product or service?"
4. Markets,M,M_Q4,M_Q4,BINARY,HUMAN,Has the startup designed a viral marketing campaign for their product or service targeted at a specific audience?
4. Markets,M,M_Q5,M_Q5,BINARY,HUMAN,Has the startup created engagement mechanisms to allow for different levels of user participation?
4. Markets,M,M_Q6,M_Q6,BINARY,HUMAN,Has the startup generated a clear strategy to on-board new users?
4. Markets,M,M_Q7,M_Q7,BINARY,AI,Has startup identified key barriers to customer purchases?
4. Markets,M,M_Q8,M_Q8,BINARY,AI,Has the startup identified sales tactics to address key purchasing barriers?
4. Markets,M,M_Q9,M_Q9,BINARY,AI,Has the startup created a customer feedback channel within the sales process?
5. Tech and Product,TP,TP_Q1,TP_Q1,BINARY,AI,Did the company cite peer-reviewed articles about its core technology?
5. Tech and Product,TP,TP_Q10,TP_Q10,BINARY,AI,"Has the company identified its third-party validation entity (university, national lab, independent test organization, etc.)?"
5. Tech and Product,TP,TP_Q11,TP_Q11,BINARY,AI,Does the company have documentation for the cost of third-party validation (anticipated or paid)?
5. Tech and Product,TP,TP_Q12,TP_Q12a,BINARY,AI,Engaged an independent 3rd-party validation entity
5. Tech and Product,TP,TP_Q12,TP_Q12b,BINARY,AI,3rd-party technical validation testing completed with formal documentation delivered
5. Tech and Product,TP,TP_Q13,TP_Q13,BINARY,AI,Does the company have any field installations with potential customers?
5. Tech and Product,TP,TP_Q14,TP_Q14,BINARY,AI,Does the company have any paid field installations?
5. Tech and Product,TP,TP_Q15,TP_Q15a,BINARY,AI,"Product certification (UL, ASTM) obtained or confirmed not needed"
5. Tech and Product,TP,TP_Q15,TP_Q15b,BINARY,AI,Formal written roadmap/testing plan to achieve required certifications (OR certification confirmed not needed)
5. Tech and Product,TP,TP_Q16,TP_Q16,BINARY,HUMAN,Is the product ready for manufacture or deployment?
5. Tech and Product,TP,TP_Q2,TP_Q2,BINARY,AI,Has the company tested the technology internally?
5. Tech and Product,TP,TP_Q3,TP_Q3,BINARY,AI,Does the company have third-party validation?
5. Tech and Product,TP,TP_Q4,TP_Q4,BINARY,AI,Has the company identified whether or not there are other companies using the same or similar core technology?
5. Tech and Product,TP,TP_Q5,TP_Q5_val,INTEGER,AI,Total count of filed patent applications
5. Tech and Product,TP,TP_Q5,TP_Q5a,BINARY,AI,"Filed at least 1 patent application (utility, non-provisional, or PCT)"
5. Tech and Product,TP,TP_Q5,TP_Q5b,BINARY,AI,Filed 3 or more patent applications
5. Tech and Product,TP,TP_Q5,TP_Q5c,BINARY,AI,Patent application serial numbers explicitly listed in materials
5. Tech and Product,TP,TP_Q6,TP_Q6_val,INTEGER,AI,Total count of granted patents
5. Tech and Product,TP,TP_Q6,TP_Q6a,BINARY,AI,Owns or exclusively licenses at least 1 granted patent
5. Tech and Product,TP,TP_Q6,TP_Q6b,BINARY,AI,Owns or exclusively licenses 3 or more granted patents
5. Tech and Product,TP,TP_Q7,TP_Q7_val,INTEGER,AI,Explicitly stated Technology Readiness Level (1-9)
5. Tech and Product,TP,TP_Q7,TP_Q7a,BINARY,AI,Technology validated in laboratory environment (TRL >= 4)
5. Tech and Product,TP,TP_Q7,TP_Q7b,BINARY,AI,Integrated system demonstrated in operational field environment (TRL >= 7)
5. Tech and Product,TP,TP_Q7,TP_Q7c,BINARY,AI,TRL validated by external 3rd-party engineering report or partner letter
5. Tech and Product,TP,TP_Q8,TP_Q8,BINARY,AI,Does the company have an initial prototype?
5. Tech and Product,TP,TP_Q9,TP_Q9,BINARY,AI,Does the company have a full-scale prototype or software beta version?
6. Financials,F,F_Q1,F_Q1,BINARY,AI,Does the company have an operating budget?
6. Financials,F,F_Q10,F_Q10a,BINARY,AI,Capital budget includes revenues broken down by project
6. Financials,F,F_Q10,F_Q10b,BINARY,AI,Capital budget includes expenses broken down by project
6. Financials,F,F_Q11,F_Q11a,BINARY,AI,Project revenues identified by source or contract line item
6. Financials,F,F_Q11,F_Q11b,BINARY,AI,Project expenses identified by category line item
6. Financials,F,F_Q12,F_Q12,BINARY,AI,"Are the revenue, expense, and market assumptions upon which the capital budget is based identified by project?"
6. Financials,F,F_Q13,F_Q13,BINARY,AI,"If the capital budget has been in place for more than the current year, does it compare actual revenue and expenses by project and line item against budgeted revenue and expenses by project and line item?"
6. Financials,F,F_Q14,F_Q14a,BINARY,AI,Capital budget includes 3-year multi-project projections
6. Financials,F,F_Q14,F_Q14b,BINARY,AI,Capital budget includes 5-year multi-project projections
6. Financials,F,F_Q15,F_Q15,BINARY,AI,"Are the revenue, expense, and market assumptions upon which the capital budget projections are based identified by project?"
6. Financials,F,F_Q16,F_Q16a,BINARY,AI,Profit and loss statement (P&L / Income Statement) provided
6. Financials,F,F_Q16,F_Q16b,BINARY,AI,Balance sheet provided
6. Financials,F,F_Q16,F_Q16c,BINARY,AI,Cash flow statement provided
6. Financials,F,F_Q16,F_Q16d,BINARY,AI,Financial model includes a month-by-month cash flow and runway forecast for at least the initial 12–24 months
6. Financials,F,F_Q17,F_Q17,BINARY,AI,"Are the balance sheet, profit and loss statement, and cash flow statement reconciled monthly and annually to the company’s bank statement?"
6. Financials,F,F_Q18,F_Q18,BINARY,AI,"Are the balance sheet, profit and loss statement, and cash flow statement reconciled monthly and annually to the budget?"
6. Financials,F,F_Q19,F_Q19a,BINARY,AI,Return on equity (ROE) calculated in financial model
6. Financials,F,F_Q19,F_Q19b,BINARY,AI,Return on assets (ROA) calculated in financial model
6. Financials,F,F_Q2,F_Q2a,BINARY,AI,Operating budget includes projected revenues
6. Financials,F,F_Q2,F_Q2b,BINARY,AI,Operating budget includes projected operating expenses
6. Financials,F,F_Q20,F_Q20a,BINARY,AI,Projections for Return on Equity (ROE) provided for 3+ years
6. Financials,F,F_Q20,F_Q20b,BINARY,AI,Projections for Return on Assets (ROA) provided for 3+ years
6. Financials,F,F_Q21,F_Q21,BINARY,AI,Are the market assumptions upon which return on equity and return on assets projections are based identified?
6. Financials,F,F_Q22,F_Q22,BINARY,AI,Do return on equity and return on assets projections assume repayment of investor equity and return on investor equity?
6. Financials,F,F_Q23,F_Q23,BINARY,AI,Does the company have prior-year audited financial statements?
6. Financials,F,F_Q24,F_Q24,BINARY,AI,Does the company have prior-year income tax returns?
6. Financials,F,F_Q25,F_Q25,BINARY,AI,(5) Does the company have actual sales or revenue data?
6. Financials,F,F_Q26,F_Q26,BINARY,AI,(5) Does the company compare actual sales or revenue data to industry total sales to calculate market share based on similar companies in the same industry?
6. Financials,F,F_Q27,F_Q27a,BINARY,AI,Sales or revenue data projected for at least 3 years
6. Financials,F,F_Q27,F_Q27b,BINARY,AI,Sales or revenue data projected for 5 or more years
6. Financials,F,F_Q28,F_Q28,BINARY,AI,"(5) Does the company compare projected sales or revenue data for the next 3, 5, or 10 years to industry projected total sales to calculate projected market share based on similar companies in the same industry?"
6. Financials,F,F_Q29,F_Q29,BINARY,AI,(5) Does the company identify assumptions upon which projected sales or revenue data are based?
6. Financials,F,F_Q3,F_Q3a,BINARY,AI,"Revenues broken down by individual customer stream, SKU, or contract"
6. Financials,F,F_Q3,F_Q3b,BINARY,AI,"Expenses categorized by functional line item (COGS, R&D, S&M, G&A)"
6. Financials,F,F_Q4,F_Q4,BINARY,AI,"Are the revenue, expense, and market assumptions upon which the operating budget is based identified?"
6. Financials,F,F_Q5,F_Q5,BINARY,AI,"If the operating budget has been in place for more than the current year, does it compare actual revenue and expenses by line item against budgeted revenue and expenses by line item?"
6. Financials,F,F_Q6,F_Q6a,BINARY,AI,Operating budget includes at least 3 years of pro-forma projections
6. Financials,F,F_Q6,F_Q6b,BINARY,AI,Operating budget includes 5 or more years of pro-forma projections
6. Financials,F,F_Q6,F_Q6c,BINARY,AI,Model projects market share or unit volume adoption alongside dollars
6. Financials,F,F_Q7,F_Q7,BINARY,AI,"Are revenue and expense projections identified as fixed, variable, or marginal?"
6. Financials,F,F_Q8,F_Q8,BINARY,AI,"Are the revenue, expense, and market assumptions upon which the operating budget projections are based identified?"
6. Financials,F,F_Q9,F_Q9,BINARY,AI,Does the company have a capital budget?
7. Legal,L,L_Q1,L_Q1,BINARY,AI,Does the company have an intellectual property strategy?
7. Legal,L,L_Q10,L_Q10,BINARY,AI,Has the Company successfully obtained a trademark or service mark registration for any of its marks?
7. Legal,L,L_Q11,L_Q11,BINARY,AI,"Does the Company plan to sell its products or services internationally?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company provides evidence that it has applied for trademark registrations in any foreign countries. Otherwise, award 0 pts."
7. Legal,L,L_Q12,L_Q12,BINARY,AI,Does the company have a copyright strategy?
7. Legal,L,L_Q13,L_Q13,BINARY,AI,"Does the product involve source code?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company has written agreements with every engineer who wrote code that properly assign their copyrights to the Company. Otherwise, award 0 pts."
7. Legal,L,L_Q14,L_Q14,BINARY,AI,"Is there any open-source code in the product?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company has copies of the open-source license for the code. Otherwise, award 0 pts."
7. Legal,L,L_Q15,L_Q15,BINARY,AI,"If the company does not think it has open-source code, has it conducted rigorous testing to confirm that there is no open-source code in the product?"
7. Legal,L,L_Q16,L_Q16,BINARY,AI,Has the company filed any copyright registrations?
7. Legal,L,L_Q17,L_Q17,BINARY,AI,Has the company registered its website?
7. Legal,L,L_Q18,L_Q18,BINARY,AI,Does the company have good archival information so that it can prove exactly what was on its website on any specific day in the past?
7. Legal,L,L_Q19,L_Q19,BINARY,AI,Does the company have a patent strategy?
7. Legal,L,L_Q2,L_Q2,BINARY,AI,Does this company spend time on developing and implementing an intellectual property strategy?
7. Legal,L,L_Q20,L_Q20,BINARY,AI,Has the company filed any applications for patents?
7. Legal,L,L_Q21,L_Q21,BINARY,AI,Does the company know in which countries it plans to seek patent protections?
7. Legal,L,L_Q22,L_Q22,BINARY,AI,Does the company know which of its competitors is filing patent applications?
7. Legal,L,L_Q23,L_Q23,BINARY,AI,Has the company evaluated their patent portfolios?
7. Legal,L,L_Q24,L_Q24,BINARY,AI,Has the company evaluated their products?
7. Legal,L,L_Q25,L_Q25,BINARY,AI,Does the company know what technical features distinguish its product from those of its competitors?
7. Legal,L,L_Q26,L_Q26,BINARY,AI,Does the company know whether customers buy its products based on any particular technical feature that it invented?
7. Legal,L,L_Q27,L_Q27,BINARY,AI,Does the company have a trade secret strategy?
7. Legal,L,L_Q28,L_Q28,BINARY,AI,Is the company taking reasonable steps to ensure that its trade secrets remain secret?
7. Legal,L,L_Q29,L_Q29,BINARY,AI,Have all employees signed non-disclosure and invention assignment agreements?
7. Legal,L,L_Q3,L_Q3,BINARY,AI,Is there a person in the organization who is tasked with managing intellectual property?
7. Legal,L,L_Q30,L_Q30,BINARY,HUMAN,"Has the company identified technical information that is known to the company, is not generally known or readily accessible to competitors, and derives value from not being generally known or readily accessible?"
7. Legal,L,L_Q31,L_Q31,BINARY,HUMAN,"Has the company identified business information that is known to the company, is not generally known or readily accessible to competitors, and derives value from not being generally known or readily accessible?"
7. Legal,L,L_Q32,L_Q32,BINARY,AI,"Has the Company hired any people who worked for competitors?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company took steps to ensure that it does not learn or use the competitor's trade secret information. Otherwise, award 0 pts."
7. Legal,L,L_Q33,L_Q33,BINARY,AI,"Has the company already filed documents establishing a legal entity (e.g. C Corp, S Corp, LLC)?"
7. Legal,L,L_Q34,L_Q34,BINARY,AI,"If the Company has already filed documents establishing a legal entity, has it listed all documents related to the legal entity (e.g., articles of incorporation, bylaws, amendments; minutes of board of directors, committee and shareholders' meetings; consents)?"
7. Legal,L,L_Q35,L_Q35,BINARY,AI,"Has the Company signed any loan agreements, including promissory notes, financing arrangements, or lines of credit?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company provides a complete list of banks or other lenders with whom it has a financial relationship, together with copies of all related credit agreements, debt instruments, security agreements, mortgages, collateral pledges, indentures, financial or performance guaranties, indemnifications, liens, equipment leases, or other agreements evidencing outstanding loans to which the Company is or was a party within the past two years. Otherwise, award 0 pts."
7. Legal,L,L_Q36,L_Q36,BINARY,AI,"Is the Company a party to any nondisclosure or noncompete agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides a list of such agreements. Otherwise, 0 pts."
7. Legal,L,L_Q37,L_Q37,BINARY,AI,"Has the Company signed any sales, distribution, franchise, or licensing agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides a list of such agreements, including but not limited to distribution, sales, marketing, and supply agreements; price quote, invoice, purchase, or warranty forms; contracts, transcripts, or letters of divestiture from any merger or acquisition within the past five years; powers of attorney; exclusivity agreements; franchise agreements; and indemnification agreements. Otherwise, 0 pts."
7. Legal,L,L_Q38,L_Q38,BINARY,AI,"Has the Company been involved in any past litigation, or does it face any pending litigation?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: copies of pleadings or correspondence for past or pending lawsuits involving the Company or Founders; a summary of any disputes with suppliers, competitors, or customers; a history of any issues with regulatory bodies such as the SEC or IRS; any harassment, wrongful termination, or discrimination disputes within the past three years; correspondence with auditors or accountants regarding threatened or pending litigation, assessments, or claims; and lists of any decrees, injunctions, settlements, orders, or judgments of courts or governmental agencies, settlement documentation, and unsatisfied judgments. Otherwise, 0 pts."
7. Legal,L,L_Q39,L_Q39,BINARY,AI,"Is the Company subject to any environmental regulations?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: descriptions of any environmental hazards, liabilities, or contingencies; a list of any materials or processes that may negatively impact the environment; copies of notices and filings with the Environmental Protection Agency (EPA); and environmental audits, if any, for each Company property. Otherwise, 0 pts."
7. Legal,L,L_Q4,L_Q4,BINARY,AI,"If yes, does that person have more than 5 years of experience managing intellectual property?"
7. Legal,L,L_Q40,L_Q40,BINARY,AI,"Has the Company or its Founders signed any agreements with officers, advisors, employees, consultants, or third-party service providers?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: all employment and consulting agreements, loan agreements, and documents relating to other transactions with officers, directors, key employees, and related parties; a schedule of all compensation paid to officers, directors, and key employees for the most recent fiscal year, showing salary separately; a summary of employee benefits, including pension, profit-sharing, compensation, and retirement plans; a summary of management incentive or bonus plans and other non-cash compensation; confidentiality agreements with employees; and a description of all related-party transactions during the last three years and any currently proposed transactions. Otherwise, 0 pts."
7. Legal,L,L_Q41,L_Q41,BINARY,AI,"Has the Company drafted guidelines for employees, contractors, and other affiliated workers?
 - Award 1 pt only if the Company provides a copy of the employee handbook, including policies on vacation, sick days, benefits, holidays, and paid leave; documents on pension plan funding and distributions; and copies of all Occupational Safety and Health Administration (OSHA) examinations. Otherwise, 0 pts."
7. Legal,L,L_Q42,L_Q42,BINARY,AI,"Does the Company own, or plan to acquire, real or material personal property?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: a list of real and material personal property owned by the Company; documents of title, mortgages, deeds of trust, and security agreements pertaining to those properties; and all outstanding leases with an original term greater than one year for real and personal property to which the Company is either lessor or lessee. Otherwise, 0 pts."
7. Legal,L,L_Q43,L_Q43,BINARY,AI,"Is the Company a party to any insurance or liability agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: a schedule or copies of all material insurance policies covering property, liabilities, and operations, including product liability; a schedule of any other policies in force, such as key-man or director indemnification policies; and all other relevant documents pertaining to the Company's insurance and liability exposure. Otherwise, 0 pts."
7. Legal,L,L_Q44,L_Q44,BINARY,AI,"Is the Company a party to any acquisition, partnership, or joint venture agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: copies of all acquisition, partnership, or joint venture agreements; documents pertaining to potential acquisitions or alliances; and any agreements regarding divestiture of assets. Otherwise, 0 pts."
7. Legal,L,L_Q45,L_Q45,BINARY,AI,"Has the Company engaged in any marketing, promotional, or public relations activities?
 - Award 1 pt only if the Company provides: copies of any press releases from the last two years; articles and other pertinent marketing studies or reports relating to the Company or its industry; information regarding competitors; customer satisfaction surveys, if any; and current brochures and sales materials describing the Company's products or services. Otherwise, 0 pts."
7. Legal,L,L_Q46,L_Q46,BINARY,AI,"Does the Company require any special permits, licenses, or authorizations to operate in any state, country, or other jurisdiction?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: recently obtained good-standing certificates for all states and jurisdictions where the Company does or plans to do business; copies of all permits and licenses necessary for operations; a summary of any inquiry during the past three years involving federal, state, or other governmental agencies; and a summary of all federal, state, and local laws, rules, and regulations applicable to the Company's main business. Otherwise, 0 pts."
7. Legal,L,L_Q47,L_Q47,BINARY,HUMAN,"Are there any corporate or equity structural issues that may pose problems in the future, particularly for investors or partners?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company explains how it will address them. Otherwise, 0 pts."
7. Legal,L,L_Q48,L_Q48,BINARY,AI,"Has the Company ever applied for, issued, or transferred securities, or signed any contracts, arrangements, documents, or commitments relating to the Company's stock?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides documents relating to its equity structure, including: stock certificates, warrants, and options; stockholder information with number of shares held, dates of issuance, and consideration paid; employee stock benefit plans and equity agreements; any voting trust, buy/sell, stockholder, warrant, proxy, or right-of-first-refusal agreements; any registration rights or pre-emptive rights agreements; powers of attorney on any matter; convertible debt instruments; and any debt arrangements, guarantees, or indemnifications between officers, directors, or shareholders and the Company. Otherwise, 0 pts."
7. Legal,L,L_Q49,L_Q49,BINARY,AI,Has the Company created a comprehensive information and data privacy policy?
7. Legal,L,L_Q5,L_Q5,BINARY,AI,Does the company have a trademark/service mark strategy?
7. Legal,L,L_Q50,L_Q50,BINARY,AI,"If the Company has created a comprehensive information and data privacy policy, has it provided a copy of this policy, as well as a summary of all federal, state, local and international laws, rules and regulations applicable to the Company's data collecting and data processing activities?"
7. Legal,L,L_Q51,L_Q51,BINARY,AI,"Has the Company crafted a policy to keep its customers' personal data safe?
 - Award 1 pt only if the Company provides a copy of this policy, together with a summary of all federal, state, local, and international laws, rules, and regulations applicable to its data collection and processing activities. Otherwise, 0 pts."
7. Legal,L,L_Q52,L_Q52,BINARY,AI,"Will the Company use cookies for advertising or tracking purposes, send direct marketing communications to people with whom it has no pre-existing business relationship, or process sensitive personal data of any kind?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company has, or plans to hire, an Information and Privacy Officer familiar with applicable privacy law, including the GDPR, the California Online Privacy Protection Act, and the California Consumer Privacy Act (CCPA). Otherwise, 0 pts."
