category_section,question_number_in_cat,question_text,allowed_score_range,is_objective,needs_review,global_question_id,archetype
2. Impact/ Sustainability,9,"Has the company identified its largest sources of energy use and land use? (If not applicable, give one point for this question because there are no large sources necessary)","[0,1]",1,False,14,CONDITIONAL_NA
2. Impact/ Sustainability,10,"Has the company categorized its waste stream by percentage? (If not applicable, give one point for this question because there is no waste stream necessary)","[0,1]",1,False,15,CONDITIONAL_NA
3. Product/ Market Fit,1,Startup has determined a specific target market and has articulated why they are a better option than other segments,"[0,1]",1,False,16,BINARY
3. Product/ Market Fit,2,Startup has identified a need the target market has that the product fills.,"[0,1]",1,False,17,BINARY
3. Product/ Market Fit,3,Startup has had live research-focused discussions with at least 4 members of its target audience.,"[0,1]",1,False,18,CUMULATIVE_LADDER
3. Product/ Market Fit,4,Startup has had live research-focused discussions with at least 6 members of its target audience.,"[0,1]",1,False,19,CUMULATIVE_LADDER
3. Product/ Market Fit,5,Startup has had live research-focused discussions with 10 or more members of its target audience.,"[0,1]",1,False,20,CUMULATIVE_LADDER
3. Product/ Market Fit,6,Startup updated or created customer segments based on research.,"[0,1]",1,False,21,BINARY
3. Product/ Market Fit,7,Startup updated or created customer archetypes/personas based on research.,"[0,1]",1,False,22,BINARY
3. Product/ Market Fit,8,Startup updated or changed its user experience based on research.,"[0,1]",1,False,23,BINARY
3. Product/ Market Fit,9,"Based on research, did the startup clearly articulate something it learned that changed some aspect of its strategy or product experience?","[0,1]",1,False,24,BINARY
3. Product/ Market Fit,10,"Did the startup create multiple customer segments based on demographic factors (ex: age, income, etc)","[0,1]",1,False,25,BINARY
3. Product/ Market Fit,11,"Did the startup create multiple customer segments based on psychological factors (ex: comfort with technology, attitudes towards cost)","[0,1]",1,False,26,BINARY
3. Product/ Market Fit,12,Did the startup identify important psychographic attributes associated with their target audience? (ex. Our target audience tends to be skeptical about tech companies),"[0,1]",0,False,27,BINARY
3. Product/ Market Fit,13,Has the startup validated the size and representativeness of their target market psychographic segmentation through a statistically significant quantitative methodology?,"[0,1]",1,False,28,BINARY
3. Product/ Market Fit,14,Startup has a research-validated range potential customers would be willing to pay for their product or service.,"[0,1]",1,False,29,BINARY
3. Product/ Market Fit,15,Start up has implemented feedback mechanisms into their service or product experience to gather ongoing feedback from individuals who are using or who will use their product/service.,"[0,1]",1,False,30,BINARY
3. Product/ Market Fit,16,Startups has embedded Net Promoter Score (NPS) into ongoing feedback.,"[0,1]",1,False,31,BINARY
3. Product/ Market Fit,17,Has the startup articulated all of the stakeholders in the market they are addressing?,"[0,1]",1,False,32,BINARY
3. Product/ Market Fit,18,Has the start up identified and addressed the needs of all key stakeholders?,"[0,1]",0,False,33,BINARY
3. Product/ Market Fit,19,Have they identified who the purchasing decision-makers in the system are?,"[0,1]",1,False,34,BINARY
3. Product/ Market Fit,20,Startup has someone dedicated to tech tools and ops.,"[0,1]",1,False,35,BINARY
3. Product/ Market Fit,21,"Startup has dedicated resources, or individual on team, to user experience.","[0,1]",1,False,36,BINARY
3. Product/ Market Fit,22,Startup has worked with a user/customer research professional.,"[0,1]",1,False,37,BINARY
3. Product/ Market Fit,23,Startup has a logo that is discernible when smaller than ½ an inch.,"[0,1]",0,False,38,BINARY
3. Product/ Market Fit,24,Startup has a logo that is discernible when billboard size.,"[0,1]",0,False,39,BINARY
3. Product/ Market Fit,25,Startup has a logo that is discernible in greyscale,"[0,1]",0,False,40,BINARY
3. Product/ Market Fit,26,"Startup has a cohesive visual design system that is consistent across, e.g., email, website, and other assets.","[0,1]",0,False,41,BINARY
3. Product/ Market Fit,27,"Startup has a branding professional, or has worked with one.","[0,1]",1,False,42,BINARY
3. Product/ Market Fit,28,Startup has a brand strategy based in customer insights.,"[0,1]",0,False,43,BINARY
3. Product/ Market Fit,29,Has the startup completed a competitive analysis?,"[0,1]",1,False,44,BINARY
3. Product/ Market Fit,30,Has the startup analyzed the reasons why customers use the competition?,"[0,1]",1,False,45,BINARY
3. Product/ Market Fit,31,Has the startup identified unique value that it can deliver to customers?,"[0,1]",0,False,46,BINARY
3. Product/ Market Fit,32,Has the startup identified customer experience pain-points in at least 1 major competitor's product?,"[0,1]",1,False,47,BINARY
3. Product/ Market Fit,33,Has the startup identified customer experience pain-points in at least 3 major competitor's product?,"[0,1]",1,False,48,BINARY
3. Product/ Market Fit,34,Has the startup validated customer experience pain-points through user research?,"[0,1]",0,False,49,BINARY
4. Markets,1,"Has the startup identified the channels that its key customers frequently consume media, products, and services via? (eg. Facebook marketplace, Best Buy physical locations, word of mouth)","[0,1]",1,False,50,BINARY
4. Markets,2,Does the startup have a clear operational plan to distribute its product or service via distribution channels that customers frequently use?,"[0,1]",0,False,51,BINARY
4. Markets,3,"Has the startup identified ways to leverage their advocates, customers or community to spread their product or service?","[0,1]",1,False,52,BINARY
4. Markets,4,Has the startup designed a viral marketing campaign for their product or service targeted at a specific audience?,"[0,1]",0,False,53,BINARY
4. Markets,5,Has the startup created engagement mechanisms to allow for different levels of user participation?,"[0,1]",0,False,54,BINARY
4. Markets,6,Has the startup generated a clear strategy to on-board new users?,"[0,1]",0,False,55,BINARY
4. Markets,7,Has startup identified key barriers to customer purchases?,"[0,1]",1,False,56,BINARY
4. Markets,8,Has the startup identified sales tactics to address key purchasing barriers?,"[0,1]",1,False,57,BINARY
4. Markets,9,Has the startup created a customer feedback channel within the sales process?,"[0,1]",1,False,58,BINARY
4. Markets,10,Has the startup identified and prioritized the most important features to customers for GTM rollout?,"[0,1]",1,False,59,BINARY
4. Markets,11,"Has the startup created a product or service roadmap, detailing when features will roll out, and why?","[0,1]",1,False,60,BINARY
4. Markets,12,Has the startup anticipated the need to gather feedback and pivot in the future?,"[0,1]",1,False,61,BINARY
5. Tech and Product,1,Did the company cite peer-reviewed articles about its core technology?,"[0,1]",1,False,62,BINARY
5. Tech and Product,2,Has the company tested the technology internally?,"[0,1]",1,False,63,BINARY
5. Tech and Product,3,Does the company have third-party validation?,"[0,1]",1,False,64,BINARY
5. Tech and Product,4,Has the company identified whether or not there are other companies using the same or similar core technology?,"[0,1]",1,False,65,BINARY
5. Tech and Product,5,"How many patents has the company filed, including subsequently granted patents? (If only 1 patent: 0 pts, If only 1-2 patents: 0.5 pts, If 3+ patents: 1 pt)","[0, 0.5, 1]",1,False,66,ORDINAL_MILESTONE
5. Tech and Product,6,"How many granted patents does the company have? (If only 1 patent: 0 pts, If only 1-2 patents: 0.5 pts, If 3+ patents: 1 pt)","[0, 0.5, 1]",1,False,67,ORDINAL_MILESTONE
5. Tech and Product,7,"What is the product’s DOD/DOE/Isles Utilities Technology Readiness Level?  (If Levels 1-3: 0 pts, If Levels 4-6: 0.5 pts, If Levels 7-9: 1 pt)","[0, 0.5, 1]",1,False,68,ORDINAL_MILESTONE
5. Tech and Product,8,Does the company have an initial prototype?,"[0, 1]",1,False,69,BINARY
5. Tech and Product,9,Does the company have a full-scale prototype or software beta version?,"[0, 1]",1,False,70,BINARY
5. Tech and Product,10,"Has the company identified its third-party validation entity (university, national lab, independent test organization, etc.)?","[0, 1]",1,False,71,BINARY
5. Tech and Product,11,Does the company have documentation for the cost of third-party validation (anticipated or paid)?,"[0, 1]",1,False,72,BINARY
5. Tech and Product,12,"(0: not started, 0.33: preliminary talks, 0.67: pending, 1: completed) What stage is the validation in?","[0, 0.33, 0.67, 1]",0,False,73,ORDINAL_MILESTONE
5. Tech and Product,13,Does the company have any field installations with potential customers?,"[0, 1]",1,False,74,BINARY
5. Tech and Product,14,Does the company have any paid field installations?,"[0, 1]",1,False,75,BINARY
5. Tech and Product,15,"Does the product need certification (UL, ASTM, etc.)? Score +1 if certification is not needed or already obtained, +0.5 if there is at least a written plan to complete it, and zero if certification is needed but there is no written plan.","[0, 0.5, 1]",0,False,76,ORDINAL_MILESTONE
5. Tech and Product,16,Is the product ready for manufacture or deployment?,"[0, 1]",0,False,77,BINARY
6. Financials,1,Does the company have an operating budget?,"[0, 1]",1,False,78,BINARY
6. Financials,2,Does the operating budget include revenue and expenses?,"[0, 1]",1,False,79,BINARY
6. Financials,3,Are revenue and expenses identified by source or line item?,"[0, 1]",1,False,80,BINARY
6. Financials,4,"Are the revenue, expense, and market assumptions upon which the operating budget is based identified?","[0, 1]",1,False,81,BINARY
6. Financials,5,"If the operating budget has been in place for more than the current year, does it compare actual revenue and expenses by line item against budgeted revenue and expenses by line item?","[0, 1]",1,False,82,BINARY
6. Financials,6,"Does the operating budget include revenue, expense, and market projections for the next 3, 5, or 10 years?","[0, 1]",1,False,83,BINARY
6. Financials,7,"Are revenue and expense projections identified as fixed, variable, or marginal?","[0, 1]",1,False,84,BINARY
6. Financials,8,"Are the revenue, expense, and market assumptions upon which the operating budget projections are based identified?","[0, 1]",1,False,85,BINARY
6. Financials,9,Does the company have a capital budget?,"[0, 1]",1,False,86,BINARY
6. Financials,10,Does the capital budget include revenue and expenses by project?,"[0, 1]",1,False,87,BINARY
6. Financials,11,Are revenue and expenses by project identified by source or line item?,"[0, 1]",1,False,88,BINARY
6. Financials,12,"Are the revenue, expense, and market assumptions upon which the capital budget is based identified by project?","[0, 1]",1,False,89,BINARY
6. Financials,13,"If the capital budget has been in place for more than the current year, does it compare actual revenue and expenses by project and line item against budgeted revenue and expenses by project and line item?","[0, 1]",1,False,90,BINARY
6. Financials,14,"Does the capital budget include revenue, expense, and market projections for the next 3, 5, or 10 years, or for the life of each project?","[0, 1]",1,False,91,BINARY
6. Financials,15,"Are the revenue, expense, and market assumptions upon which the capital budget projections are based identified by project?","[0, 1]",1,False,92,BINARY
6. Financials,16,"Does the company have monthly and annual balance sheets, profit and loss statements, and cash flow statements?","[0, 1]",1,False,93,BINARY
6. Financials,17,"Are the balance sheet, profit and loss statement, and cash flow statement reconciled monthly and annually to the company’s bank statement?","[0, 1]",1,False,94,BINARY
6. Financials,18,"Are the balance sheet, profit and loss statement, and cash flow statement reconciled monthly and annually to the budget?","[0, 1]",1,False,95,BINARY
6. Financials,19,Are return on equity and return on assets calculated?,"[0, 1]",1,False,96,BINARY
6. Financials,20,"Are 3-, 5-, or 10-year projections for return on equity and return on assets calculated?","[0, 1]",1,False,97,BINARY
6. Financials,21,Are the market assumptions upon which return on equity and return on assets projections are based identified?,"[0, 1]",1,False,98,BINARY
6. Financials,22,Do return on equity and return on assets projections assume repayment of investor equity and return on investor equity?,"[0, 1]",1,False,99,BINARY
6. Financials,23,Does the company have prior-year audited financial statements?,"[0, 1]",1,False,100,BINARY
6. Financials,24,Does the company have prior-year income tax returns?,"[0, 1]",1,False,101,BINARY
6. Financials,25,(5) Does the company have actual sales or revenue data?,"[0, 1]",1,False,102,BINARY
6. Financials,26,(5) Does the company compare actual sales or revenue data to industry total sales to calculate market share based on similar companies in the same industry?,"[0, 1]",1,False,103,BINARY
6. Financials,27,"(5) Does the company project sales or revenue data for the next 3, 5, or 10 years?","[0, 1]",1,False,104,BINARY
6. Financials,28,"(5) Does the company compare projected sales or revenue data for the next 3, 5, or 10 years to industry projected total sales to calculate projected market share based on similar companies in the same industry?","[0, 1]",1,False,105,BINARY
6. Financials,29,(5) Does the company identify assumptions upon which projected sales or revenue data are based?,"[0, 1]",1,False,106,BINARY
7. Legal,1,Does the company have an intellectual property strategy?,"[0, 1]",1,False,107,BINARY
7. Legal,2,Does this company spend time on developing and implementing an intellectual property strategy?,"[0, 1]",1,False,108,BINARY
7. Legal,3,Is there a person in the organization who is tasked with managing intellectual property?,"[0, 1]",1,False,109,BINARY
7. Legal,4,"If yes, does that person have more than 5 years of experience managing intellectual property?","[0, 1]",1,False,110,BINARY
7. Legal,5,Does the company have a trademark/service mark strategy?,"[0, 1]",1,False,111,BINARY
7. Legal,6,Has the company filed any applications for trademark registration?,"[0, 1]",1,False,112,BINARY
7. Legal,7,Has the company done a clearance search to determine whether or not it is okay to use the trade or service mark it wants?,"[0, 1]",1,False,113,BINARY
7. Legal,8,"If the Company plans to apply for more than one trade or service mark, has it done a clearance search for every mark it plans to apply for?
- Not applicable (the Company plans to apply for no marks): award 1 pt.
- Yes (a clearance search was done for every mark): award 1 pt.
- No (one or more marks lack a clearance search): award 0 pts.","[0, 1]",1,False,114,BINARY
7. Legal,9,"According to the USPTO, strong, highly registerable marks are creative or unique names that set a brand apart. These include fanciful marks (made-up words like Pepsi), arbitrary marks (unrelated real words like Apple for computers), and suggestive marks (words hinting at a quality without stating it outright like Coppertone). Conversely, weak or unacceptable marks are hard to protect and usually cannot be federally registered. These include descriptive marks (merely detailing a feature or quality, like Creamy for yogurt) and generic terms (the common, everyday product name, like Bagel shop).
On average across every mark the Company plans to apply for, how descriptive are they on a scale of 1–5? Please rate them with 1 being a weak mark that concisely describes a feature or quality of the goods or services, and 5 being a strong mark that has no relationship to what the Company is selling.","[0, 0.25, 0.5, 0.75, 1]",1,False,115,SUBJECTIVE_LIKERT
7. Legal,10,Has the Company successfully obtained a trademark or service mark registration for any of its marks?,"[0, 1]",1,False,116,BINARY
7. Legal,11,"Does the Company plan to sell its products or services internationally?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company provides evidence that it has applied for trademark registrations in any foreign countries. Otherwise, award 0 pts.","[0, 1]",1,False,117,BINARY
7. Legal,12,Does the company have a copyright strategy?,"[0, 1]",1,False,118,BINARY
7. Legal,13,"Does the product involve source code?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company has written agreements with every engineer who wrote code that properly assign their copyrights to the Company. Otherwise, award 0 pts.","[0, 1]",1,False,119,BINARY
7. Legal,14,"Is there any open-source code in the product?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company has copies of the open-source license for the code. Otherwise, award 0 pts.","[0, 1]",1,False,120,BINARY
7. Legal,15,"If the company does not think it has open-source code, has it conducted rigorous testing to confirm that there is no open-source code in the product?","[0, 1]",1,False,121,BINARY
7. Legal,16,Has the company filed any copyright registrations?,"[0, 1]",1,False,122,BINARY
7. Legal,17,Has the company registered its website?,"[0, 1]",1,False,123,BINARY
7. Legal,18,Does the company have good archival information so that it can prove exactly what was on its website on any specific day in the past?,"[0, 1]",1,False,124,BINARY
7. Legal,19,Does the company have a patent strategy?,"[0, 1]",1,False,125,BINARY
7. Legal,20,Has the company filed any applications for patents?,"[0, 1]",1,False,126,BINARY
7. Legal,21,Does the company know in which countries it plans to seek patent protections?,"[0, 1]",1,False,127,BINARY
7. Legal,22,Does the company know which of its competitors is filing patent applications?,"[0, 1]",1,False,128,BINARY
7. Legal,23,Has the company evaluated their patent portfolios?,"[0, 1]",1,False,129,BINARY
7. Legal,24,Has the company evaluated their products?,"[0, 1]",1,False,130,BINARY
7. Legal,25,Does the company know what technical features distinguish its product from those of its competitors?,"[0, 1]",1,False,131,BINARY
7. Legal,26,Does the company know whether customers buy its products based on any particular technical feature that it invented?,"[0, 1]",1,False,132,BINARY
7. Legal,27,Does the company have a trade secret strategy?,"[0, 1]",1,False,133,BINARY
7. Legal,28,Is the company taking reasonable steps to ensure that its trade secrets remain secret?,"[0, 1]",1,False,134,BINARY
7. Legal,29,Have all employees signed non-disclosure and invention assignment agreements?,"[0, 1]",1,False,135,BINARY
7. Legal,30,"Has the company identified technical information that is known to the company, is not generally known or readily accessible to competitors, and derives value from not being generally known or readily accessible?","[0, 1]",0,False,136,BINARY
7. Legal,31,"Has the company identified business information that is known to the company, is not generally known or readily accessible to competitors, and derives value from not being generally known or readily accessible?","[0, 1]",0,False,137,BINARY
7. Legal,32,"Has the Company hired any people who worked for competitors?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company took steps to ensure that it does not learn or use the competitor's trade secret information. Otherwise, award 0 pts.","[0, 1]",1,False,138,BINARY
7. Legal,33,"Has the company already filed documents establishing a legal entity (e.g. C Corp, S Corp, LLC)?","[0, 1]",1,False,139,BINARY
7. Legal,34,"If the Company has already filed documents establishing a legal entity, has it listed all documents related to the legal entity (e.g., articles of incorporation, bylaws, amendments; minutes of board of directors, committee and shareholders' meetings; consents)?","[0, 1]",1,False,140,BINARY
7. Legal,35,"Has the Company signed any loan agreements, including promissory notes, financing arrangements, or lines of credit?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company provides a complete list of banks or other lenders with whom it has a financial relationship, together with copies of all related credit agreements, debt instruments, security agreements, mortgages, collateral pledges, indentures, financial or performance guaranties, indemnifications, liens, equipment leases, or other agreements evidencing outstanding loans to which the Company is or was a party within the past two years. Otherwise, award 0 pts.","[0, 1]",1,False,141,BINARY
7. Legal,36,"Is the Company a party to any nondisclosure or noncompete agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides a list of such agreements. Otherwise, 0 pts.","[0, 1]",1,False,142,BINARY
7. Legal,37,"Has the Company signed any sales, distribution, franchise, or licensing agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides a list of such agreements, including but not limited to distribution, sales, marketing, and supply agreements; price quote, invoice, purchase, or warranty forms; contracts, transcripts, or letters of divestiture from any merger or acquisition within the past five years; powers of attorney; exclusivity agreements; franchise agreements; and indemnification agreements. Otherwise, 0 pts.","[0, 1]",1,False,143,BINARY
7. Legal,38,"Has the Company been involved in any past litigation, or does it face any pending litigation?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: copies of pleadings or correspondence for past or pending lawsuits involving the Company or Founders; a summary of any disputes with suppliers, competitors, or customers; a history of any issues with regulatory bodies such as the SEC or IRS; any harassment, wrongful termination, or discrimination disputes within the past three years; correspondence with auditors or accountants regarding threatened or pending litigation, assessments, or claims; and lists of any decrees, injunctions, settlements, orders, or judgments of courts or governmental agencies, settlement documentation, and unsatisfied judgments. Otherwise, 0 pts.","[0, 1]",1,False,144,BINARY
7. Legal,39,"Is the Company subject to any environmental regulations?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: descriptions of any environmental hazards, liabilities, or contingencies; a list of any materials or processes that may negatively impact the environment; copies of notices and filings with the Environmental Protection Agency (EPA); and environmental audits, if any, for each Company property. Otherwise, 0 pts.","[0, 1]",1,False,145,BINARY
7. Legal,40,"Has the Company or its Founders signed any agreements with officers, advisors, employees, consultants, or third-party service providers?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: all employment and consulting agreements, loan agreements, and documents relating to other transactions with officers, directors, key employees, and related parties; a schedule of all compensation paid to officers, directors, and key employees for the most recent fiscal year, showing salary separately; a summary of employee benefits, including pension, profit-sharing, compensation, and retirement plans; a summary of management incentive or bonus plans and other non-cash compensation; confidentiality agreements with employees; and a description of all related-party transactions during the last three years and any currently proposed transactions. Otherwise, 0 pts.","[0, 1]",1,False,146,BINARY
7. Legal,41,"Has the Company drafted guidelines for employees, contractors, and other affiliated workers?
 - Award 1 pt only if the Company provides a copy of the employee handbook, including policies on vacation, sick days, benefits, holidays, and paid leave; documents on pension plan funding and distributions; and copies of all Occupational Safety and Health Administration (OSHA) examinations. Otherwise, 0 pts.","[0, 1]",1,False,147,BINARY
7. Legal,42,"Does the Company own, or plan to acquire, real or material personal property?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: a list of real and material personal property owned by the Company; documents of title, mortgages, deeds of trust, and security agreements pertaining to those properties; and all outstanding leases with an original term greater than one year for real and personal property to which the Company is either lessor or lessee. Otherwise, 0 pts.","[0, 1]",1,False,148,BINARY
7. Legal,43,"Is the Company a party to any insurance or liability agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: a schedule or copies of all material insurance policies covering property, liabilities, and operations, including product liability; a schedule of any other policies in force, such as key-man or director indemnification policies; and all other relevant documents pertaining to the Company's insurance and liability exposure. Otherwise, 0 pts.","[0, 1]",1,False,149,BINARY
7. Legal,44,"Is the Company a party to any acquisition, partnership, or joint venture agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: copies of all acquisition, partnership, or joint venture agreements; documents pertaining to potential acquisitions or alliances; and any agreements regarding divestiture of assets. Otherwise, 0 pts.","[0, 1]",1,False,150,BINARY
7. Legal,45,"Has the Company engaged in any marketing, promotional, or public relations activities?
 - Award 1 pt only if the Company provides: copies of any press releases from the last two years; articles and other pertinent marketing studies or reports relating to the Company or its industry; information regarding competitors; customer satisfaction surveys, if any; and current brochures and sales materials describing the Company's products or services. Otherwise, 0 pts.","[0, 1]",1,False,151,BINARY
7. Legal,46,"Does the Company require any special permits, licenses, or authorizations to operate in any state, country, or other jurisdiction?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: recently obtained good-standing certificates for all states and jurisdictions where the Company does or plans to do business; copies of all permits and licenses necessary for operations; a summary of any inquiry during the past three years involving federal, state, or other governmental agencies; and a summary of all federal, state, and local laws, rules, and regulations applicable to the Company's main business. Otherwise, 0 pts.","[0, 1]",1,False,152,BINARY
7. Legal,47,"Are there any corporate or equity structural issues that may pose problems in the future, particularly for investors or partners?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company explains how it will address them. Otherwise, 0 pts.","[0, 1]",1,False,153,BINARY
7. Legal,48,"Has the Company ever applied for, issued, or transferred securities, or signed any contracts, arrangements, documents, or commitments relating to the Company's stock?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides documents relating to its equity structure, including: stock certificates, warrants, and options; stockholder information with number of shares held, dates of issuance, and consideration paid; employee stock benefit plans and equity agreements; any voting trust, buy/sell, stockholder, warrant, proxy, or right-of-first-refusal agreements; any registration rights or pre-emptive rights agreements; powers of attorney on any matter; convertible debt instruments; and any debt arrangements, guarantees, or indemnifications between officers, directors, or shareholders and the Company. Otherwise, 0 pts.","[0, 1]",1,False,154,BINARY
7. Legal,49,Has the Company created a comprehensive information and data privacy policy?,"[0, 1]",0,False,155,BINARY
7. Legal,50,"If the Company has created a comprehensive information and data privacy policy, has it provided a copy of this policy, as well as a summary of all federal, state, local and international laws, rules and regulations applicable to the Company's data collecting and data processing activities?","[0, 1]",1,False,156,BINARY
7. Legal,51,"Has the Company crafted a policy to keep its customers' personal data safe?
 - Award 1 pt only if the Company provides a copy of this policy, together with a summary of all federal, state, local, and international laws, rules, and regulations applicable to its data collection and processing activities. Otherwise, 0 pts.","[0, 1]",1,False,157,BINARY
7. Legal,52,"Will the Company use cookies for advertising or tracking purposes, send direct marketing communications to people with whom it has no pre-existing business relationship, or process sensitive personal data of any kind?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company has, or plans to hire, an Information and Privacy Officer familiar with applicable privacy law, including the GDPR, the California Online Privacy Protection Act, and the California Consumer Privacy Act (CCPA). Otherwise, 0 pts.","[0, 1]",1,False,158,BINARY
7. Legal,53,"Has the Company signed any agreements with, or established relationships involving, any subsidiaries, partnerships, or joint ventures?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides a list of these arrangements and any related agreements. Otherwise, 0 pts.","[0, 1]",1,False,159,BINARY
8. Team,1,"Have any team members been involved in previous startups, and in what role?
- Founder or co-founder: award 1 pt.
- Around the 10th employee: award 0.67 pts.
- After the 10th employee: award 0.33 pts.
- No startup experience: award 0 pts.","[1, 0.67, 0.33, 0]",1,False,160,ORDINAL_MILESTONE
8. Team,2,"How many startups have the team members previously been involved with?
 - 3 or more startups: award 1 pt
 - 1–2 startups: award 0.5 pts
 - None: award 0 pts","[1, 0.5, 0]",1,False,161,ORDINAL_MILESTONE
8. Team,3,"How many successful exits have team members been involved in?
 - 2 or more startups: award 1 pt
 - 1 startup: award 0.5 pts
 - None: award 0 pts","[1, 0.5, 0]",1,False,162,ORDINAL_MILESTONE
8. Team,4,"How many years of experience does the team have in the company's industry?
 - 15+ years: award 1 pt
 - 5 to 14 years: award 0.5 pts
 - Fewer than 5 years: award 0 pts","[1, 0.5, 0]",1,False,163,ORDINAL_MILESTONE
8. Team,5,"What was the team member's role/seniority in the company's industry?
 - CEO, C-Suite: award 1 pt
 - Middle management: award 0.5 pts
 - Team member: award 0 pts","[1, 0.5, 0]",1,False,164,ORDINAL_MILESTONE
8. Team,6,"What is the breadth of the team's capabilities in technical/engineering?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1,False,165,ORDINAL_MILESTONE
8. Team,7,"What is the breadth of the team's capabilities in supply chain?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1,False,166,ORDINAL_MILESTONE
8. Team,8,"What is the breadth of the team's capabilities in operations?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1,False,167,ORDINAL_MILESTONE
8. Team,9,"What is the breadth of the team's capabilities in finance?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1,False,168,ORDINAL_MILESTONE
8. Team,10,"""What is the breadth of the team's capabilities in human resources?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts""","[1, 0.67, 0.33, 0]",1,False,169,ORDINAL_MILESTONE
8. Team,11,"What is the breadth of the team's capabilities in sales/marketing?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1,False,170,ORDINAL_MILESTONE
