question_id,orig_q_id,cat_code,category_name,data_type,verification_role,question_text,weight
IS_Q6,IS_Q6,IS,2. Impact/ Sustainability,BINARY,AI,Lists formal certification by environmental or sustainability organizations,1.0
IS_Q7,IS_Q7,IS,2. Impact/ Sustainability,BINARY,AI,Identifies applicable environmental/operating regulations (or confirms none exist),1.0
IS_Q8,IS_Q8,IS,2. Impact/ Sustainability,BINARY,AI,"Identifies environmental or social risks of physical materials, OR explicitly documents that business model is asset-light/software with no physical material risk",1.0
IS_Q9a,IS_Q9,IS,2. Impact/ Sustainability,BINARY,AI,Identifies largest sources of energy consumption in operations,1.0
IS_Q9b,IS_Q9,IS,2. Impact/ Sustainability,BINARY,AI,"Identifies operational land use footprint, OR confirms operations require no dedicated land footprint",1.0
PMF_Q1a,PMF_Q1,PMF,3. Product/ Market Fit,BINARY,AI,Startup has determined and named a specific target market,1.0
PMF_Q1b,PMF_Q1,PMF,3. Product/ Market Fit,BINARY,HUMAN,Startup articulates why the chosen target market segment is superior to alternative segments for its initial beachhead entry,1.0
PMF_Q10,PMF_Q10,PMF,3. Product/ Market Fit,BINARY,AI,"Did the startup create multiple customer segments based on demographic factors (ex: age, income, etc)",1.0
PMF_Q11,PMF_Q11,PMF,3. Product/ Market Fit,BINARY,AI,"Did the startup create multiple customer segments based on psychological factors (ex: comfort with technology, attitudes towards cost)",1.0
PMF_Q12,PMF_Q12,PMF,3. Product/ Market Fit,BINARY,HUMAN,Did the startup identify important psychographic attributes associated with their target audience? (ex. Our target audience tends to be skeptical about tech companies),1.0
PMF_Q13,PMF_Q13,PMF,3. Product/ Market Fit,BINARY,AI,Has the startup validated the size and representativeness of their target market psychographic segmentation through a statistically significant quantitative methodology?,1.0
PMF_Q14,PMF_Q14,PMF,3. Product/ Market Fit,BINARY,AI,Startup has a research-validated range potential customers would be willing to pay for their product or service.,1.0
PMF_Q15,PMF_Q15,PMF,3. Product/ Market Fit,BINARY,AI,Start up has implemented feedback mechanisms into their service or product experience to gather ongoing feedback from individuals who are using or who will use their product/service.,1.0
PMF_Q16,PMF_Q16,PMF,3. Product/ Market Fit,BINARY,AI,Startups has embedded Net Promoter Score (NPS) into ongoing feedback.,1.0
PMF_Q17,PMF_Q17,PMF,3. Product/ Market Fit,BINARY,AI,Has the startup articulated all of the stakeholders in the market they are addressing?,1.0
PMF_Q18,PMF_Q18,PMF,3. Product/ Market Fit,BINARY,HUMAN,Has the start up identified and addressed the needs of all key stakeholders?,1.0
PMF_Q19,PMF_Q19,PMF,3. Product/ Market Fit,BINARY,AI,Have they identified who the purchasing decision-makers in the system are?,1.0
PMF_Q2,PMF_Q2,PMF,3. Product/ Market Fit,BINARY,AI,Startup has identified a need the target market has that the product fills.,1.0
PMF_Q20,PMF_Q20,PMF,3. Product/ Market Fit,BINARY,AI,Startup has someone dedicated to tech tools and ops.,1.0
PMF_Q21,PMF_Q21,PMF,3. Product/ Market Fit,BINARY,AI,"Startup has dedicated resources, or individual on team, to user experience.",1.0
PMF_Q22,PMF_Q22,PMF,3. Product/ Market Fit,BINARY,AI,Startup has worked with a user/customer research professional.,1.0
PMF_Q23,PMF_Q23,PMF,3. Product/ Market Fit,BINARY,HUMAN,Startup has a logo that is discernible when smaller than ½ an inch.,1.0
PMF_Q24,PMF_Q24,PMF,3. Product/ Market Fit,BINARY,HUMAN,Startup has a logo that is discernible when billboard size.,1.0
PMF_Q25,PMF_Q25,PMF,3. Product/ Market Fit,BINARY,HUMAN,Startup has a logo that is discernible in greyscale,1.0
PMF_Q26,PMF_Q26,PMF,3. Product/ Market Fit,BINARY,HUMAN,"Startup has a cohesive visual design system that is consistent across, e.g., email, website, and other assets.",1.0
PMF_Q27,PMF_Q27,PMF,3. Product/ Market Fit,BINARY,AI,"Startup has a branding professional, or has worked with one.",1.0
PMF_Q28,PMF_Q28,PMF,3. Product/ Market Fit,BINARY,HUMAN,Startup has a brand strategy based in customer insights.,1.0
PMF_Q29,PMF_Q29,PMF,3. Product/ Market Fit,BINARY,AI,Has the startup completed a competitive analysis?,1.0
PMF_Q3,PMF_Q3,PMF,3. Product/ Market Fit,BINARY,AI,Startup has had live research-focused discussions with at least 4 members of its target audience.,1.0
PMF_Q30,PMF_Q30,PMF,3. Product/ Market Fit,BINARY,AI,Has the startup analyzed the reasons why customers use the competition?,1.0
PMF_Q31,PMF_Q31,PMF,3. Product/ Market Fit,BINARY,HUMAN,Has the startup identified unique value that it can deliver to customers?,1.0
PMF_Q32,PMF_Q32,PMF,3. Product/ Market Fit,BINARY,AI,Has the startup identified customer experience pain-points in at least 1 major competitor's product?,1.0
PMF_Q33,PMF_Q33,PMF,3. Product/ Market Fit,BINARY,AI,Has the startup identified customer experience pain-points in at least 3 major competitor's product?,1.0
PMF_Q34,PMF_Q34,PMF,3. Product/ Market Fit,BINARY,HUMAN,Has the startup validated customer experience pain-points through user research?,1.0
PMF_Q4,PMF_Q4,PMF,3. Product/ Market Fit,BINARY,AI,Startup has had live research-focused discussions with at least 6 members of its target audience.,1.0
PMF_Q5,PMF_Q5,PMF,3. Product/ Market Fit,BINARY,AI,Startup has had live research-focused discussions with 10 or more members of its target audience.,1.0
PMF_Q6,PMF_Q6,PMF,3. Product/ Market Fit,BINARY,AI,Startup updated or created customer segments based on research.,1.0
PMF_Q7,PMF_Q7,PMF,3. Product/ Market Fit,BINARY,AI,Startup updated or created customer archetypes/personas based on research.,1.0
PMF_Q8,PMF_Q8,PMF,3. Product/ Market Fit,BINARY,AI,Startup updated or changed its user experience based on research.,1.0
PMF_Q9a,PMF_Q9,PMF,3. Product/ Market Fit,BINARY,AI,Articulates specific insight or finding learned from customer research,1.0
PMF_Q9b,PMF_Q9,PMF,3. Product/ Market Fit,BINARY,AI,Identifies concrete change made to strategy or product experience based on research,1.0
M_Q1a,M_Q1,M,4. Markets,BINARY,AI,Identifies commercial distribution channels for product delivery,1.0
M_Q1b,M_Q1,M,4. Markets,BINARY,AI,"Identifies media, marketing, or industry channels for customer acquisition",1.0
M_Q10,M_Q10,M,4. Markets,BINARY,AI,Has the startup identified and prioritized the most important features to customers for GTM rollout?,1.0
M_Q11a,M_Q11,M,4. Markets,BINARY,AI,Provides visual or scheduled product roadmap across future quarters/years,1.0
M_Q11b,M_Q11,M,4. Markets,BINARY,AI,Provides technical or commercial rationale for feature sequencing,1.0
M_Q12,M_Q12,M,4. Markets,BINARY,AI,Has the startup anticipated the need to gather feedback and pivot in the future?,1.0
M_Q2,M_Q2,M,4. Markets,BINARY,HUMAN,Does the startup have a clear operational plan to distribute its product or service via distribution channels that customers frequently use?,1.0
M_Q3,M_Q3,M,4. Markets,BINARY,AI,"Has the startup identified ways to leverage their advocates, customers or community to spread their product or service?",1.0
M_Q4,M_Q4,M,4. Markets,BINARY,HUMAN,Has the startup designed a viral marketing campaign for their product or service targeted at a specific audience?,1.0
M_Q5,M_Q5,M,4. Markets,BINARY,HUMAN,Has the startup created engagement mechanisms to allow for different levels of user participation?,1.0
M_Q6,M_Q6,M,4. Markets,BINARY,HUMAN,Has the startup generated a clear strategy to on-board new users?,1.0
M_Q7,M_Q7,M,4. Markets,BINARY,AI,Has startup identified key barriers to customer purchases?,1.0
M_Q8,M_Q8,M,4. Markets,BINARY,AI,Has the startup identified sales tactics to address key purchasing barriers?,1.0
M_Q9,M_Q9,M,4. Markets,BINARY,AI,Has the startup created a customer feedback channel within the sales process?,1.0
TP_Q1,TP_Q1,TP,5. Tech and Product,BINARY,AI,Did the company cite peer-reviewed articles about its core technology?,1.0
TP_Q10,TP_Q10,TP,5. Tech and Product,BINARY,AI,"Has the company identified its third-party validation entity (university, national lab, independent test organization, etc.)?",1.0
TP_Q11,TP_Q11,TP,5. Tech and Product,BINARY,AI,Does the company have documentation for the cost of third-party validation (anticipated or paid)?,1.0
TP_Q12a,TP_Q12,TP,5. Tech and Product,BINARY,AI,Engaged an independent 3rd-party validation entity,1.0
TP_Q12b,TP_Q12,TP,5. Tech and Product,BINARY,AI,3rd-party technical validation testing completed with formal documentation delivered,1.0
TP_Q13,TP_Q13,TP,5. Tech and Product,BINARY,AI,Does the company have any field installations with potential customers?,1.0
TP_Q14,TP_Q14,TP,5. Tech and Product,BINARY,AI,Does the company have any paid field installations?,1.0
TP_Q15a,TP_Q15,TP,5. Tech and Product,BINARY,AI,"Product certification (UL, ASTM) obtained or confirmed not needed",1.0
TP_Q15b,TP_Q15,TP,5. Tech and Product,BINARY,AI,Formal written roadmap/testing plan to achieve required certifications (OR certification confirmed not needed),1.0
TP_Q16,TP_Q16,TP,5. Tech and Product,BINARY,HUMAN,Is the product ready for manufacture or deployment?,1.0
TP_Q2,TP_Q2,TP,5. Tech and Product,BINARY,AI,Has the company tested the technology internally?,1.0
TP_Q3,TP_Q3,TP,5. Tech and Product,BINARY,AI,Does the company have third-party validation?,1.0
TP_Q4,TP_Q4,TP,5. Tech and Product,BINARY,AI,Has the company identified whether or not there are other companies using the same or similar core technology?,1.0
TP_Q5_val,TP_Q5,TP,5. Tech and Product,INTEGER,AI,Total count of filed patent applications,1.0
TP_Q5a,TP_Q5,TP,5. Tech and Product,BINARY,AI,"Filed at least 1 patent application (utility, non-provisional, or PCT)",1.0
TP_Q5b,TP_Q5,TP,5. Tech and Product,BINARY,AI,Filed 3 or more patent applications,1.0
TP_Q5c,TP_Q5,TP,5. Tech and Product,BINARY,AI,Patent application serial numbers explicitly listed in materials,1.0
TP_Q6_val,TP_Q6,TP,5. Tech and Product,INTEGER,AI,Total count of granted patents,1.0
TP_Q6a,TP_Q6,TP,5. Tech and Product,BINARY,AI,Owns or exclusively licenses at least 1 granted patent,1.0
TP_Q6b,TP_Q6,TP,5. Tech and Product,BINARY,AI,Owns or exclusively licenses 3 or more granted patents,1.0
TP_Q7_val,TP_Q7,TP,5. Tech and Product,INTEGER,AI,Explicitly stated Technology Readiness Level (1-9),1.0
TP_Q7a,TP_Q7,TP,5. Tech and Product,BINARY,AI,Technology validated in laboratory environment (TRL >= 4),1.0
TP_Q7b,TP_Q7,TP,5. Tech and Product,BINARY,AI,Integrated system demonstrated in operational field environment (TRL >= 7),1.0
TP_Q7c,TP_Q7,TP,5. Tech and Product,BINARY,AI,TRL validated by external 3rd-party engineering report or partner letter,1.0
TP_Q8,TP_Q8,TP,5. Tech and Product,BINARY,AI,Does the company have an initial prototype?,1.0
TP_Q9,TP_Q9,TP,5. Tech and Product,BINARY,AI,Does the company have a full-scale prototype or software beta version?,1.0
F_Q1,F_Q1,F,6. Financials,BINARY,AI,Does the company have an operating budget?,1.0
F_Q10a,F_Q10,F,6. Financials,BINARY,AI,Capital budget includes revenues broken down by project,1.0
F_Q10b,F_Q10,F,6. Financials,BINARY,AI,Capital budget includes expenses broken down by project,1.0
F_Q11a,F_Q11,F,6. Financials,BINARY,AI,Project revenues identified by source or contract line item,1.0
F_Q11b,F_Q11,F,6. Financials,BINARY,AI,Project expenses identified by category line item,1.0
F_Q12,F_Q12,F,6. Financials,BINARY,AI,"Are the revenue, expense, and market assumptions upon which the capital budget is based identified by project?",1.0
F_Q13,F_Q13,F,6. Financials,BINARY,AI,"If the capital budget has been in place for more than the current year, does it compare actual revenue and expenses by project and line item against budgeted revenue and expenses by project and line item?",1.0
F_Q14a,F_Q14,F,6. Financials,BINARY,AI,Capital budget includes 3-year multi-project projections,1.0
F_Q14b,F_Q14,F,6. Financials,BINARY,AI,Capital budget includes 5-year multi-project projections,1.0
F_Q15,F_Q15,F,6. Financials,BINARY,AI,"Are the revenue, expense, and market assumptions upon which the capital budget projections are based identified by project?",1.0
F_Q16a,F_Q16,F,6. Financials,BINARY,AI,Profit and loss statement (P&L / Income Statement) provided,1.0
F_Q16b,F_Q16,F,6. Financials,BINARY,AI,Balance sheet provided,1.0
F_Q16c,F_Q16,F,6. Financials,BINARY,AI,Cash flow statement provided,1.0
F_Q16d,F_Q16,F,6. Financials,BINARY,AI,Financial model includes a month-by-month cash flow and runway forecast for at least the initial 12–24 months,1.0
F_Q17,F_Q17,F,6. Financials,BINARY,AI,"Are the balance sheet, profit and loss statement, and cash flow statement reconciled monthly and annually to the company’s bank statement?",1.0
F_Q18,F_Q18,F,6. Financials,BINARY,AI,"Are the balance sheet, profit and loss statement, and cash flow statement reconciled monthly and annually to the budget?",1.0
F_Q19a,F_Q19,F,6. Financials,BINARY,AI,Return on equity (ROE) calculated in financial model,1.0
F_Q19b,F_Q19,F,6. Financials,BINARY,AI,Return on assets (ROA) calculated in financial model,1.0
F_Q2a,F_Q2,F,6. Financials,BINARY,AI,Operating budget includes projected revenues,1.0
F_Q2b,F_Q2,F,6. Financials,BINARY,AI,Operating budget includes projected operating expenses,1.0
F_Q20a,F_Q20,F,6. Financials,BINARY,AI,Projections for Return on Equity (ROE) provided for 3+ years,1.0
F_Q20b,F_Q20,F,6. Financials,BINARY,AI,Projections for Return on Assets (ROA) provided for 3+ years,1.0
F_Q21,F_Q21,F,6. Financials,BINARY,AI,Are the market assumptions upon which return on equity and return on assets projections are based identified?,1.0
F_Q22,F_Q22,F,6. Financials,BINARY,AI,Do return on equity and return on assets projections assume repayment of investor equity and return on investor equity?,1.0
F_Q23,F_Q23,F,6. Financials,BINARY,AI,Does the company have prior-year audited financial statements?,1.0
F_Q24,F_Q24,F,6. Financials,BINARY,AI,Does the company have prior-year income tax returns?,1.0
F_Q25,F_Q25,F,6. Financials,BINARY,AI,(5) Does the company have actual sales or revenue data?,1.0
F_Q26,F_Q26,F,6. Financials,BINARY,AI,(5) Does the company compare actual sales or revenue data to industry total sales to calculate market share based on similar companies in the same industry?,1.0
F_Q27a,F_Q27,F,6. Financials,BINARY,AI,Sales or revenue data projected for at least 3 years,1.0
F_Q27b,F_Q27,F,6. Financials,BINARY,AI,Sales or revenue data projected for 5 or more years,1.0
F_Q28,F_Q28,F,6. Financials,BINARY,AI,"(5) Does the company compare projected sales or revenue data for the next 3, 5, or 10 years to industry projected total sales to calculate projected market share based on similar companies in the same industry?",1.0
F_Q29,F_Q29,F,6. Financials,BINARY,AI,(5) Does the company identify assumptions upon which projected sales or revenue data are based?,1.0
F_Q3a,F_Q3,F,6. Financials,BINARY,AI,"Revenues broken down by individual customer stream, SKU, or contract",1.0
F_Q3b,F_Q3,F,6. Financials,BINARY,AI,"Expenses categorized by functional line item (COGS, R&D, S&M, G&A)",1.0
F_Q4,F_Q4,F,6. Financials,BINARY,AI,"Are the revenue, expense, and market assumptions upon which the operating budget is based identified?",1.0
F_Q5,F_Q5,F,6. Financials,BINARY,AI,"If the operating budget has been in place for more than the current year, does it compare actual revenue and expenses by line item against budgeted revenue and expenses by line item?",1.0
F_Q6a,F_Q6,F,6. Financials,BINARY,AI,Operating budget includes at least 3 years of pro-forma projections,1.0
F_Q6b,F_Q6,F,6. Financials,BINARY,AI,Operating budget includes 5 or more years of pro-forma projections,1.0
F_Q6c,F_Q6,F,6. Financials,BINARY,AI,Model projects market share or unit volume adoption alongside dollars,1.0
F_Q7,F_Q7,F,6. Financials,BINARY,AI,"Are revenue and expense projections identified as fixed, variable, or marginal?",1.0
F_Q8,F_Q8,F,6. Financials,BINARY,AI,"Are the revenue, expense, and market assumptions upon which the operating budget projections are based identified?",1.0
F_Q9,F_Q9,F,6. Financials,BINARY,AI,Does the company have a capital budget?,1.0
L_Q1,L_Q1,L,7. Legal,BINARY,AI,Does the company have an intellectual property strategy?,1.0
L_Q10,L_Q10,L,7. Legal,BINARY,AI,Has the Company successfully obtained a trademark or service mark registration for any of its marks?,1.0
L_Q11,L_Q11,L,7. Legal,BINARY,AI,"Does the Company plan to sell its products or services internationally?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company provides evidence that it has applied for trademark registrations in any foreign countries. Otherwise, award 0 pts.",1.0
L_Q12,L_Q12,L,7. Legal,BINARY,AI,Does the company have a copyright strategy?,1.0
L_Q13,L_Q13,L,7. Legal,BINARY,AI,"Does the product involve source code?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company has written agreements with every engineer who wrote code that properly assign their copyrights to the Company. Otherwise, award 0 pts.",1.0
L_Q14,L_Q14,L,7. Legal,BINARY,AI,"Is there any open-source code in the product?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company has copies of the open-source license for the code. Otherwise, award 0 pts.",1.0
L_Q15,L_Q15,L,7. Legal,BINARY,AI,"If the company does not think it has open-source code, has it conducted rigorous testing to confirm that there is no open-source code in the product?",1.0
L_Q16,L_Q16,L,7. Legal,BINARY,AI,Has the company filed any copyright registrations?,1.0
L_Q17,L_Q17,L,7. Legal,BINARY,AI,Has the company registered its website?,1.0
L_Q18,L_Q18,L,7. Legal,BINARY,AI,Does the company have good archival information so that it can prove exactly what was on its website on any specific day in the past?,1.0
L_Q19,L_Q19,L,7. Legal,BINARY,AI,Does the company have a patent strategy?,1.0
L_Q2,L_Q2,L,7. Legal,BINARY,AI,Does this company spend time on developing and implementing an intellectual property strategy?,1.0
L_Q20,L_Q20,L,7. Legal,BINARY,AI,Has the company filed any applications for patents?,1.0
L_Q21,L_Q21,L,7. Legal,BINARY,AI,Does the company know in which countries it plans to seek patent protections?,1.0
L_Q22,L_Q22,L,7. Legal,BINARY,AI,Does the company know which of its competitors is filing patent applications?,1.0
L_Q23,L_Q23,L,7. Legal,BINARY,AI,Has the company evaluated their patent portfolios?,1.0
L_Q24,L_Q24,L,7. Legal,BINARY,AI,Has the company evaluated their products?,1.0
L_Q25,L_Q25,L,7. Legal,BINARY,AI,Does the company know what technical features distinguish its product from those of its competitors?,1.0
L_Q26,L_Q26,L,7. Legal,BINARY,AI,Does the company know whether customers buy its products based on any particular technical feature that it invented?,1.0
L_Q27,L_Q27,L,7. Legal,BINARY,AI,Does the company have a trade secret strategy?,1.0
L_Q28,L_Q28,L,7. Legal,BINARY,AI,Is the company taking reasonable steps to ensure that its trade secrets remain secret?,1.0
L_Q29,L_Q29,L,7. Legal,BINARY,AI,Have all employees signed non-disclosure and invention assignment agreements?,1.0
L_Q3,L_Q3,L,7. Legal,BINARY,AI,Is there a person in the organization who is tasked with managing intellectual property?,1.0
L_Q30,L_Q30,L,7. Legal,BINARY,HUMAN,"Has the company identified technical information that is known to the company, is not generally known or readily accessible to competitors, and derives value from not being generally known or readily accessible?",1.0
L_Q31,L_Q31,L,7. Legal,BINARY,HUMAN,"Has the company identified business information that is known to the company, is not generally known or readily accessible to competitors, and derives value from not being generally known or readily accessible?",1.0
L_Q32,L_Q32,L,7. Legal,BINARY,AI,"Has the Company hired any people who worked for competitors?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company took steps to ensure that it does not learn or use the competitor's trade secret information. Otherwise, award 0 pts.",1.0
L_Q33,L_Q33,L,7. Legal,BINARY,AI,"Has the company already filed documents establishing a legal entity (e.g. C Corp, S Corp, LLC)?",1.0
L_Q34,L_Q34,L,7. Legal,BINARY,AI,"If the Company has already filed documents establishing a legal entity, has it listed all documents related to the legal entity (e.g., articles of incorporation, bylaws, amendments; minutes of board of directors, committee and shareholders' meetings; consents)?",1.0
L_Q35,L_Q35,L,7. Legal,BINARY,AI,"Has the Company signed any loan agreements, including promissory notes, financing arrangements, or lines of credit?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company provides a complete list of banks or other lenders with whom it has a financial relationship, together with copies of all related credit agreements, debt instruments, security agreements, mortgages, collateral pledges, indentures, financial or performance guaranties, indemnifications, liens, equipment leases, or other agreements evidencing outstanding loans to which the Company is or was a party within the past two years. Otherwise, award 0 pts.",1.0
L_Q36,L_Q36,L,7. Legal,BINARY,AI,"Is the Company a party to any nondisclosure or noncompete agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides a list of such agreements. Otherwise, 0 pts.",1.0
L_Q37,L_Q37,L,7. Legal,BINARY,AI,"Has the Company signed any sales, distribution, franchise, or licensing agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides a list of such agreements, including but not limited to distribution, sales, marketing, and supply agreements; price quote, invoice, purchase, or warranty forms; contracts, transcripts, or letters of divestiture from any merger or acquisition within the past five years; powers of attorney; exclusivity agreements; franchise agreements; and indemnification agreements. Otherwise, 0 pts.",1.0
L_Q38,L_Q38,L,7. Legal,BINARY,AI,"Has the Company been involved in any past litigation, or does it face any pending litigation?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: copies of pleadings or correspondence for past or pending lawsuits involving the Company or Founders; a summary of any disputes with suppliers, competitors, or customers; a history of any issues with regulatory bodies such as the SEC or IRS; any harassment, wrongful termination, or discrimination disputes within the past three years; correspondence with auditors or accountants regarding threatened or pending litigation, assessments, or claims; and lists of any decrees, injunctions, settlements, orders, or judgments of courts or governmental agencies, settlement documentation, and unsatisfied judgments. Otherwise, 0 pts.",1.0
L_Q39,L_Q39,L,7. Legal,BINARY,AI,"Is the Company subject to any environmental regulations?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: descriptions of any environmental hazards, liabilities, or contingencies; a list of any materials or processes that may negatively impact the environment; copies of notices and filings with the Environmental Protection Agency (EPA); and environmental audits, if any, for each Company property. Otherwise, 0 pts.",1.0
L_Q4,L_Q4,L,7. Legal,BINARY,AI,"If yes, does that person have more than 5 years of experience managing intellectual property?",1.0
L_Q40,L_Q40,L,7. Legal,BINARY,AI,"Has the Company or its Founders signed any agreements with officers, advisors, employees, consultants, or third-party service providers?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: all employment and consulting agreements, loan agreements, and documents relating to other transactions with officers, directors, key employees, and related parties; a schedule of all compensation paid to officers, directors, and key employees for the most recent fiscal year, showing salary separately; a summary of employee benefits, including pension, profit-sharing, compensation, and retirement plans; a summary of management incentive or bonus plans and other non-cash compensation; confidentiality agreements with employees; and a description of all related-party transactions during the last three years and any currently proposed transactions. Otherwise, 0 pts.",1.0
L_Q41,L_Q41,L,7. Legal,BINARY,AI,"Has the Company drafted guidelines for employees, contractors, and other affiliated workers?
 - Award 1 pt only if the Company provides a copy of the employee handbook, including policies on vacation, sick days, benefits, holidays, and paid leave; documents on pension plan funding and distributions; and copies of all Occupational Safety and Health Administration (OSHA) examinations. Otherwise, 0 pts.",1.0
L_Q42,L_Q42,L,7. Legal,BINARY,AI,"Does the Company own, or plan to acquire, real or material personal property?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: a list of real and material personal property owned by the Company; documents of title, mortgages, deeds of trust, and security agreements pertaining to those properties; and all outstanding leases with an original term greater than one year for real and personal property to which the Company is either lessor or lessee. Otherwise, 0 pts.",1.0
L_Q43,L_Q43,L,7. Legal,BINARY,AI,"Is the Company a party to any insurance or liability agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: a schedule or copies of all material insurance policies covering property, liabilities, and operations, including product liability; a schedule of any other policies in force, such as key-man or director indemnification policies; and all other relevant documents pertaining to the Company's insurance and liability exposure. Otherwise, 0 pts.",1.0
L_Q44,L_Q44,L,7. Legal,BINARY,AI,"Is the Company a party to any acquisition, partnership, or joint venture agreements?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: copies of all acquisition, partnership, or joint venture agreements; documents pertaining to potential acquisitions or alliances; and any agreements regarding divestiture of assets. Otherwise, 0 pts.",1.0
L_Q45,L_Q45,L,7. Legal,BINARY,AI,"Has the Company engaged in any marketing, promotional, or public relations activities?
 - Award 1 pt only if the Company provides: copies of any press releases from the last two years; articles and other pertinent marketing studies or reports relating to the Company or its industry; information regarding competitors; customer satisfaction surveys, if any; and current brochures and sales materials describing the Company's products or services. Otherwise, 0 pts.",1.0
L_Q46,L_Q46,L,7. Legal,BINARY,AI,"Does the Company require any special permits, licenses, or authorizations to operate in any state, country, or other jurisdiction?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company provides: recently obtained good-standing certificates for all states and jurisdictions where the Company does or plans to do business; copies of all permits and licenses necessary for operations; a summary of any inquiry during the past three years involving federal, state, or other governmental agencies; and a summary of all federal, state, and local laws, rules, and regulations applicable to the Company's main business. Otherwise, 0 pts.",1.0
L_Q47,L_Q47,L,7. Legal,BINARY,HUMAN,"Are there any corporate or equity structural issues that may pose problems in the future, particularly for investors or partners?
 - If no: award 1 pt.
 - If yes: award 1 pt only if the Company explains how it will address them. Otherwise, 0 pts.",1.0
