A,,,,,"   Indicators MAIN IDEAS 1) PROOF OF CONTINUED EXISTENCE, OR DEATH 2) DID THEY RAISE $$, WHAT FORM, AND HOW MUCH 3) COMMUNITY (e.g., jobs) OR ENVIRONMENTAL IMPACT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Founder/Submitter,Industry,Year,Region,1-1) QUICK GLANCE AT COMPANY FOR PROOF OF EXISTENCE,From 2024 Data ,From 2024 Data ,From 2026 onwards,,  1-1) ONLINE PRESENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2) IN-DEPTH RESEARCH FOR MORE PROOF (CHECK IF NEEDED),"   1-2) ADDITIONAL PROOF OF CONTINUED EXISTENCE, OR DEATH",,,,,,,,,,,,,,,2) EVIDENCE OF CAPITAL RAISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accelerator,,,,3) Community or Environmental Impact,,,,,,,,,,,,,,,,,,,,
,,,,,,"Status as of 2024, Y=Alive, N=Dead, S=Maybe, A=Acquire",,Still Alive?,,Company Website (Google Search),,,,LinkedIn (Website),,,,,,,,,,,,,,,Online reviews,,,News articles,,,,,,Word of mouth,,,,,,,,Continued Membership in Industry Organizations (wiki),,,,Websites tracking failures,News stories,N,,,SEC Reg D filings (website here),,,,,,Website url,,,,Number of Funding Rounds,,,Total (disclosed) Funding Amount ($USD),,,,,,Latest Funding Year,,,,,Latest Funding Amount ($USD),,,,,,"Latest Funding Type (friends&family, seed, A-round, grant, etc)",,,,,Earliest Funding Year,,,,,Funding Type with most money raised,,,,,Year with most money raised,,,,,News about capital raise,,,,Word of mouth,,,,,Evidence of Expansion/Growth,,,,,,,Evidence of Global Expansion,,Evidence of environmental impact,,,,,,,,,,SCORED BY,DATE OF COMPLETION
Birmingham Technologies,Joseph Birmingham,Energy Generation,2016,Northeast,,S,2024,N,2025,,N, ,pitchbook,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N/A,,N,,N,,N,,,,N,,N,,,N,,N,N,,https://my.pitchbook.com/profile/461952-10/company/profile#timeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khushi,1/27/2026
Big Blue Technologies,Aaron Palumbo,Chemicals & Advanced Materials,2016,Rocky Mountain,,Y,2024,Y,2026,https://bigbluetech.com/,Y,,,Y,https://www.linkedin.com/company/big-blue-technologies/,,2026,,,Aaron Palumbo,https://www.linkedin.com/in/aaron-palumbo-80a8411a/,,,,,,N,,N,,,N,,,N,,,N,,Y,2024,N/A,,N,,N,,N,,,,N,,N,,,N,,N,N,,https://my.pitchbook.com/profile/149195-89/company/profile#comparisons,,,,,,,,,,7.8M,,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,N,,,,https://bigbluetech.com/,,https://www.linkedin.com/company/big-blue-technologies/,,,,,,,,,,Y,,,,,,,Khushi,1/27/2026
Crystal Clear Technologies,Ron Epperson,Chemicals & Advanced Materials,2016,Northwest ,,N,,Y,2026,https://www.crystalcleartec.com/,N/A,,pitchbook,N/A,N/A,,N/A,,,Ron Epperson,https://www.linkedin.com/in/ronepperson/,,,,,,N/A,,N/A,,,N/A,,,N/A,,,N/A,,N/A,N/A,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A,,,N/A,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,N/A,,N/A,,,,,,,,,,N/A,,,,,,,Khushi,1/27/2026
Urbix Resources,Adam Small,Chemicals & Advanced Materials,2016,Rocky Mountain,,Y,,Y,2026,www.alliedgraphite.com,N,,,Y,http://www.linkedin.com/company/urbixinc,Y,2026,Y,,Adam Small,https://www.linkedin.com/in/adam-small-1830/,,,,,,N,,Y,Glassdoor,,N,,,N,,,N,,Y,,N,,N,,N,,N,,,,N,,,N,,,,,,,https://my.pitchbook.com/profile/265228-57/company/profile#timeline,,,,,,,,,,,,,,,2022,,,,,0.5M,,,,,,Later stage VC,,,,,2018,,,,,VC,,,,,2018,,N,,,,N,N,,,,https://alliedgraphite.com/careers/,,,,,,,N,,N,,,N/A,,,N,,N,,Khushi,1/27/2026
WAVVE,Eric Beydoun,Agriculture Water & Waste,2016,South Central,,N,,S,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khushi,1/27/2026
Skyven Technologies,Arun Gupta,Energy Generation,2016,South Central,,Y,2024,Y,2026,https://skyven.co/,Y,,,Y,https://www.linkedin.com/company/skyven-technologies/,Y,2026,Y,,Arun Gupta,https://www.linkedin.com/in/arung12/,2026,,,,,N,,Y,Google,2024,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,,N,,,,,,,https://my.pitchbook.com/profile/94853-17/company/profile,,,,4,,,,,,10M,,,,,2025,,,,,N/A,,,,,,VC,,,,,2019,,,,,VC,,,,,2024,,,,,,,N,,,,https://skyven.co/careers/,,,,,,,N,,N,,,N,,,N,,N,,Khushi,1/27/2026
RE-MODULE,Kelsey Underwood,Green Buildings,2016,Midwest,,N,2016,S,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khushi,1/27/2026
Teknapack Inc.,Sharon Johnson,Energy Efficiency,2016,Midwest,,Y,2024,Y,2026,https://www.powdertechnologyinc.com/teknapack/,Y, ,,Y,https://www.linkedin.com/company/powder-technology-inc-/,N,,Y,,Sharon Johnson,https://www.linkedin.com/in/sharon-johnson-0487b213/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Khushi,1/27/2026
"Qlean Tech Enterprises, LLC",Thomas Johnson,Chemicals & Advanced Materials,2016,Midwest,,N,2017,Y,2026,https://www.qleantech.com/,Y,,,Y,https://www.linkedin.com/company/qleantech/,N,,Y,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,,N,,,,,,,https://my.pitchbook.com/profile/571946-86/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Khushi,1/27/2026
Touch Light Innovations,Swarnav Pujari,Energy Generation,2016,Northeast,,Y,2024,S,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khushi,1/27/2026
PowerTech Water,Cameron Lippert,Agriculture Water & Waste,2016,Midwest,,Y,2024,Y,2026,https://electramet.com/,N,2026,blog post,Y,https://www.linkedin.com/company/electra-met/,Y,2026,Y,,James Landon,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,,Y,2024,"equity, options",,"12,162,472","12,162,472",https://www.crunchbase.com/organization/powertech-water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,https://electramet.com/job_posting/,,N,,,website,,N,,N,,,Y,2026,https://electramet.com/blog/copper-prices-and-volatility-what-industrial-buyers-should-expect/,Y,2026,N,,Khushi,1/27/2026
Nanomass Corp,Marcus Chee,Energy Generation,2016,West,,N,,N ,2020,,N,,,N,,N,,Y,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,N,N,N,,N,,N,,,N,,,N,,N,,Khushi,1/27/2026
Bike Leap,Tai Stillwater,Transportation,2016,West,,N,,S,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khushi,1/27/2026
Bamboo Science Group,Greg Egan,Agriculture Water & Waste,2016,Northeast,,N,,N,2018,,N,,,Y,https://www.linkedin.com/company/bamboosciencegroup/,N,,Y,,Greg Egan,https://www.linkedin.com/in/greg-egan-9a368312/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,,N,,,,,,,https://my.pitchbook.com/profile/134183-71/company/deals#deal-128782-90T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,1/30/2026
BioEnergySP,Adrian Cosma,Agriculture Water & Waste,2016,Northeast,,N,,N,2017,,N,,,N,,N,,N,,José Luis Lozano,https://www.linkedin.com/in/jos%C3%A9-luis-lozano-phd-334576aa/,,,,,,N,,N,,,Y,2017,https://news.cornell.edu/stories/2017/08/ithaca-startup-wins-250000-southern-tier-clean-energy-competition,N,,,N,,N,,N,,N,,N,,N,,,,N,,,N,,,,,,,https://my.pitchbook.com/profile/223970-86/company/profile#ai-summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,1/30/2026
Empower Equity,Herb Dwyer & Derek LaClair,Information & Communication Tech ,2016,Northeast,,Y,2024,Y,2026,https://empeq.co/,Y,2026,blog post,Y,https://www.linkedin.com/company/empowerequity/posts/?feedView=all,Y,2026,Y,,Herbert Dwyer,https://www.linkedin.com/in/herbdwyer/,,https://x.com/EmpowerEquity,Instagram,2026,https://www.instagram.com/empeq/,N,,N,,,Y ,2024,https://www.usatoday.com/story/special/contributor-content/2024/05/10/breaking-barriers-and-building-dreams-the-empeq-journey/73645742007/,N,,,N,,Y,2025,N,,Y,2026,N,,Y,"Uptake Alliance, DeltaClimeVT, Cleantech Open",N,N,N,,N,Y,2025,Debt,,"2,000,000","100,000",,https://my.pitchbook.com/profile/185081-23/company/profile#ai-summary,,,,5,,,,,,1.71M,,,,,2024,,,,,0.1M,,,,,,Grant,,,,,2016,,,,,Accelerator/Incubator,,,,,2016,,,,,,N,Y,Founder Institute,2019,https://my.pitchbook.com/profile/55334-08/investor/profile,https://empeq.co/,2026,Y,2026,,,,N,,N,,,Y,2025,https://empeq.co/data-decay-and-its-business-impact-and-how-to-stop-it/,Y,2026,N,,Geoffrey,1/30/2026
"EkoStinger, Inc.",A.J. Edwards,Energy Efficiency,2016,Northeast,,S,2023,N,2023,,N,,,N,,N,,N,2020,Albert Edwards,,,,,,,N,,N,,,Y,2022,https://www.prweb.com/releases/ekostinger-announces-its-nextgen-product-launch-866282315.html,N,,,N,,Y,2023,N,,N,,N,,N,,,,N,,N,Y,2023,Equity,,"2,250,000","2,136,000",,https://my.pitchbook.com/profile/55269-73/company/profile#executives,,,,,,,,,,28.79M,,,,,2023,,,,,1.5M,,,,,,Later Stage VC,,,,,2013,,,,,Later Stage VC (Series B),,,,,2019,,N,,,,N,Y,ClimateTech,2018,https://my.pitchbook.com/profile/55269-73/company/deals#deal-265694-68T,,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/2/2026
F.E. Wood Natural Energy,Tony Wood,Energy Efficiency,2016,Northeast,,N,2020,N,2020,,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,,,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,,,,,,N,,,N,,N,,Geoffrey,2/2/2026
FBB Combustion,Robert Steir,Agriculture Water & Waste,2016,Northeast,,N,,N,2016,,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,,,,,,,,,,,N,,,N,,,,,,,https://my.pitchbook.com/profile/593244-55/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,,,,,,N,,,N,,N,,Geoffrey,2/2/2026
FCG Chemicals,Blair Woodring,Energy Generation,2016,Northeast,,N,,A,2026,,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,,,,,,,,,,,N,,Y,N,,,,,,,https://my.pitchbook.com/profile/97795-90/company/deals#deal-37932-31T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,,,,,,N,,,N,,N,,Geoffrey,2/2/2026
Helix Power Corporation,Matthew Lazarewicz,Energy Efficiency,2016,Northeast,,Y,2024,Y,2026,https://www.helixpower.com/,Y,2023,copyright,Y,https://www.linkedin.com/company/helix-power-corporation/,N,,Y,,Matthew Lazarewicz,https://www.linkedin.com/in/mattlazarewicz/,,,facebook,2020,https://www.facebook.com/HelixPowerCorp/,N,,N,,,N,,,N,,,N,,Y,2022,N,,Y,2022,N,,N,,,,N,,N,Y,2021,Stock,,"2,317,163","652,902",,https://my.pitchbook.com/profile/171439-57/company/profile,,,,6,,,,,,14.49M,,,,,2024,,,,,0.05M,,,,,,Accelerator/Incubator,,,,,2015,,,,,Grant,,,,,2019,,N,,,,N,Y,Halliburton Labs,2021,https://my.pitchbook.com/profile/171439-57/company/deals#deal-220710-97T,Y,,N,,,,,N,,N,,,Y,,,Y,2020,N,,Geoffrey,2/2/2026
"MicroEra Power, LLC","Ellie Rusling, James Grieve",Energy Distribution & Storage,2016,Northeast,,Y,2024,Y,2026,https://www.microerapower.com/,Y,2025,news,Y,https://www.linkedin.com/company/microera-power-inc/,Y,2026,Y,,"Eleanor ""Ellie"" Rusling",https://www.linkedin.com/in/ellieroc/,,https://x.com/MicroeraPower,instagram,2025,https://www.instagram.com/microera_power/,N,,N,,,Y,2025,https://www.nlr.gov/news/detail/program/2025/three-startups-join-new-in2-cohort-advancing-reliability-in-built-environment,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/185082-49/company/profile,,,,12,,,,,,10.82M,,,,,2025,,,,,0.25M,,,,,,Accelerator/Incubator,,,,,2016,,,,,Later Stage VC,,,,,2025,,Y,https://www.trysignalbase.com/news/funding/microera-power-secures-2m-funding-to-launch-thermaplus-the-future-of-low-cost-low-carbon-building-energy-solutions,2025,2M,N,Y,Wells Fargo Innovation Incubator,2025,https://my.pitchbook.com/profile/185082-49/company/deals#deal-307888-30T,Y,2026,N,,,,,N,,Y,2025,https://www.powermag.com/energy-startups-receive-funding-from-wells-fargo-technology-program/,Y,2025,https://www.microerapower.com/what-we-do/,N,,N,,Geoffrey ,2/2/2026
MICROrganic Technologies,Brent Solina,Agriculture Water & Waste,2016,Northeast,,S,2023,Y,2024,https://microrganictech.com/,Y,2024,copyright,Y,https://www.linkedin.com/company/microrganic-technologies/about/,N,,Y,,Brent A. Solina,https://www.linkedin.com/in/brent-a-solina-23569316/,,https://x.com/microrganic,,,,N,,N,,,N,,,N,,,N,,Y,2014,N,,N,,N,,N,,,,N,,N,Y,2014,Equity,,"590,005","380,000",,https://my.pitchbook.com/profile/59267-98/company/profile,,,,10,,,,,,3.95M,,,,,2022,,,,,0.21M,,,,,,Later Stage VC,,,,,2014,,,,,Seed Round,,,,,2020,,N,,,,N,Y,100+ Accelerator,2021,https://my.pitchbook.com/profile/59267-98/company/deals#deal-189103-33T,Y,,,,,,,N,,N,,,N,,,N,,N,,Geoffrey ,2/2/2026
Poly6 Technologies,"Matthew Stellmaker, Keith Hearon ",Energy Efficiency,2016,Northeast,,A,2021,A,2022,https://www.poly6.com/,Y,,,Y,https://www.linkedin.com/company/poly6tech/,N,,Y,,Matthew Stellmaker,https://www.linkedin.com/in/mstellmaker/,,https://x.com/poly6tech?lang=en,facebook,,https://www.facebook.com/poly6tech,N,,Y,glassdoor,2024,Y,2025,https://www.jobsohio.com/newsroom/news-press/poly6-technologies-selects-northeast-ohio-for-new-operation,N,,,N,,Y,2018,N,,N,,N,,N,,,,N,,Y,Y,2018,Equity,,"5,212,587","5,067,537",,https://my.pitchbook.com/profile/155816-02/company/profile#general-info,,,,5,,,,,,4.44M,,,,,2019,,,,,0.07M,,,,,,Grant,,,,,2015,,,,,Seed Round,,,,,2018,,Y,https://www.bizjournals.com/cleveland/news/2025/12/15/poly6-technologies-ohio-lumex-tax-credits.html,2026,1.7M,N,Y,Quake Capital,2017,https://my.pitchbook.com/profile/155816-02/company/deals#deal-96050-17T,Y,2026,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/3/2026
